,id,username,tweet,note
0,1602097338721476617,Kiiingdoom,"Personne ne se souvient des champions de la Can … mais être demi-finaliste de coupe du monde … même Elon Musk tweet … même à New York y’a notre drapeau partout … WAllah respectez le vrai pays du football en Afrique c’est bien le Maroc, et soyez pas ingrat. 🇲🇦☝🏾",0
1,1602097307792871424,BckpSlay,"@AzureSk14032166 @YMedaoui @Der_Augustus @AnasRoyal9 @Riyyaadd692 @footmercato C'est un immense csc, les 7 CAN dont 1 triplé c'est + simple qu'une demi de coupe du monde pour vous ptdrrr ? Bande d'attardés",-1
2,1602097225819103232,aar0631,@LCI Ce qui est le plus raté dans cette coupe du monde: l arbitrage,-1
3,1602097161025511424,legone87,@Hrdnsq_ @IpopChuruch Cette Coupe du monde est folle ! C’est historique !,1
4,1602097069015302144,khalice03,@user56789101112 Effectivement alors elle oublie la coupe du monde et tout ce qui reste cet homme est sans dignité toutes ces cousines sont mariés elles montrent pas leurs maris et sa se passe hiper bien pour eux mais elle est menteuse vicieuse cet homme doit se casser il n’a pas honte,-1
5,1602097046311391235,reIegacion,Ils ont passé 10 ans à politiser la Coupe du monde du Qatar 🤣🤣🤣 https://t.co/9YXe9FpwfX,0
6,1602097031002361856,Eyel3ss59,@LErmitepasnet88 @AsseFicionados @OptaJean Je ne pense pas que les Uruguayens échangeraient leurs victoires en Coupe du Monde et Copa America contre les 3 demie finale de la Croatie. Après je peux me tromper 🤷‍♂️,0
7,1602097023188074496,Chowbii,@ivomrnn Mais c quoi cette comparaison ! Oui Ronaldo est meilleur mais le Maroc a été mieux que le Portugal et on vous a éliminé allez bonne chance pour la coupe du monde 2026.,0
8,1602096985993003011,adonis100_7,"@Zaroury_BE @LeFennecFC Demi finaliste de la pire coupe du monde depuis 20 ans en terme de qualité de jeu avec un jeu a vomir,  et face a des équipes malades hormis portugal ou vous finissez a 7 défenseurs va dormir , on faisit des exploits au football vous etiez encore sous occupation espagnole",-1
9,1602096976396525568,PapPresident,Le parcours du #Maroc en Coupe du monde est une fierté pour l’Afrique et un exemple d’abnégation et de passion  pour le monde. Mes félicitations à sa Majesté Mohamed VI &amp; au peuple marocain pour ces moments inoubliables. Nous serons avec vous jusqu’au bout. #FIFAWorldCup,1
10,1602096821584728064,FayalHouari1,"@Yas_Mah5 @Lahassan1964 @bob_boobs @AhmedSebou @3ayachaZahra @fk120025 @ibtissamtweets @RodiLina @RFaouz @rynsd4 Grâce à cette Coupe du monde qui se déroule au Qatar, nous pouvons enfin, nous autres pays arabes, renouer avec la notion d’unité qui nous faisait défaut et, surtout, prendre enfin la mesure de notre puissance dans l’unité.",1
11,1602096712528666625,Fitzysoccer,Un duel entre les amis Mbappé et Hakimi en demi-finale #qatar2022  https://t.co/NO9XoL1DqK,0
12,1602096562242461697,Doufrex,"@DualPower4 @Lahassan1964 @bob_boobs @AhmedSebou @3ayachaZahra @fk120025 @ibtissamtweets @RodiLina @RFaouz @rynsd4 Grâce à cette Coupe du monde qui se déroule au Qatar, nous pouvons enfin, nous autres pays arabes, renouer avec la notion d’unité qui nous faisait défaut et, surtout, prendre enfin la mesure de notre puissance dans l’unité.",0
13,1602096513106280448,JamalZaoigi,"@Lahassan1964 @Yas_Mah5 @bob_boobs @AhmedSebou @3ayachaZahra @fk120025 @ibtissamtweets @RodiLina @RFaouz @rynsd4 Grâce à cette Coupe du monde qui se déroule au Qatar, nous pouvons enfin, nous autres pays arabes, renouer avec la notion d’unité qui nous faisait défaut et, surtout, prendre enfin la mesure de notre puissance dans l’unité.",0
14,1602096510673780736,GerfridVertus11,@DamsQlf1 @anas92aaaa @julouvai @ActuFoot_ Ronaldo titulaire 😆 il a fait quoi dans cette coupe du monde ? ⭕️,0
15,1602096434341462016,loirenordfccom,"@Yas_Mah5 @Lahassan1964 @bob_boobs @AhmedSebou @3ayachaZahra @fk120025 @ibtissamtweets @RodiLina @RFaouz @rynsd4 Grâce à cette Coupe du monde qui se déroule au Qatar, nous pouvons enfin, nous autres pays arabes, renouer avec la notion d’unité qui nous faisait défaut et, surtout, prendre enfin la mesure de notre puissance dans l’unité.",0
16,1602096410152796161,Rentabilite_Off,"Chacun « tirera ses conclusions » après l’échec du Portugal, dit Ronaldo #qatar2022  https://t.co/Y1BKSI8YRF",0
17,1602096404813549569,anti_feur_bot_,"@ChermatMohamed5 @onlyFW64 @EdyCohen On est en demi finale de la coupe du monde avec tous nos frères arabes et algériens compris. 
Et toi espèce de je ne sais d'où tu viens SOUFFRE EN SILENCE",-1
18,1602096368570585089,dooriannnnn,"Je te comprends car le fait de citer le nom de Messi te bouleverse tellement..

Messi marque et fait marquer... De loin, Messi est le meilleur joueur de cette coupe du monde... https://t.co/cTlCPw4X15",1
19,1602096367966486529,PAULODO40121817,"@3ayachaZahra @Lahassan1964 @bob_boobs @AhmedSebou @fk120025 @ibtissamtweets @RodiLina @RFaouz @rynsd4 Grâce à cette Coupe du monde qui se déroule au Qatar, nous pouvons enfin, nous autres pays arabes, renouer avec la notion d’unité qui nous faisait défaut et, surtout, prendre enfin la mesure de notre puissance dans l’unité.",0
20,1602096330133880834,MansuyYves,"@Lahassan1964 @bob_boobs @AhmedSebou @3ayachaZahra @fk120025 @ibtissamtweets @RodiLina @RFaouz @rynsd4 Grâce à cette Coupe du monde qui se déroule au Qatar, nous pouvons enfin, nous autres pays arabes, renouer avec la notion d’unité qui nous faisait défaut et, surtout, prendre enfin la mesure de notre puissance dans l’unité.",0
21,1602096319039823872,Vrshavin23,YouTube: 🔴🇨🇦🇲🇦 CANADA – MAROC EN DIRECT + 🇭🇷🇧🇪 CROATIE – BELGIQUE EN DIRECT / COUPE DU MONDE 2022 / COUPE DU MONDE 2022 https://t.co/lbPnDGIxB1,0
22,1602096316267565056,wides112,@chillouze @Brevesdepresse Qatar. Coupe du monde peut être je sais pas.,0
23,1602096274496696322,GaryDaigneault,@wadsy007thc @Russeltheg @m222_ii @brfootball Non vous êtes juste des tricheurs. Pour une fois l’arbitrage de cette coupe du monde était correct mais vu que le résultat va pas dans votre sens vous vous plaignez et vous assumez même pas qu’on a juste été meilleurs,-1
24,1602096052512890886,zako93350,Saka il a fait une sacré coupe du monde avec son pays ce mec est un véritable crack c lui qui cause tous les problèmes contre la France en plus,1
25,1602095935189819392,Blue_Gold_black,@nicolas_vilas Parceque à la différence des dernières coupe du monde on sentais cet effectif capable de la gagner. C est le plus grand gâchis portugais en sélection. Voilà des années que FSantos aurait du passer la main. Ça fait 6 ans qu il ne bonifie pas un effectif riche et motivé,-1
26,1602095903451582468,LezobitBilbo,@SabrinaOuRien Si la France gagnait la coupe du monde des expatriés français à l'étranger se réuniraient  dans des appartements privés ou des bars pour fêter la victoire mais n'iraient pas squatter pour autant des espaces publics.,-1
27,1602095889396514816,lukilukh,"Oh les maxeurs ils ont mit Giroud, mettez Messi déjà, et Theo sa coupe du monde laisse à désirer pour le moment https://t.co/JEHhnc57WH",-1
28,1602095824628224000,slimane_amine13,"@footmercato @reaIAtIas Par contre seul ceux qui ont été en coupe du monde cette années peuvent répondre, et surtout pas ceux qui sont éliminés à la 120 eme minutes",1
29,1602095811139178496,ElMoctarMohame9,"Une 76e médaille en Coupe du monde pour le skieur québécois Mikaël Kingsbury.
https://t.co/PnAv97iNXZ",1
30,1602095661545054209,qatar_fr,@cherifaalg_ @miniiiyass On a une CAN  et demi final de coupe du monde. A jamais premier,1
31,1602095657699115008,rasbe,"@YMedaoui @footmercato 4 ans , ils ont marqué la Can , dans ""Monde "" y'a pas juste ""Afrique"" , ils ont fait quoi à la coupe du monde les Egyptiens ?",0
32,1602095638438608896,ST1000000000,"@CiaramitaroEnzo @_abdess_ @ActuFoot_ Champion par hasard,votre absence à la coupe du monde en est la preuve",0
33,1602095573108154368,SinbadBoi_,"@Lahassan1964 @fleepma @bob_boobs @rynsd4 @f_bellouch @taguiwin @KhalZak76 @fk120025 @ibtissamtweets @shaminotor @3ayachaZahra @AhmedSebou @RFaouz @phaumats Des médias arabes ont célébré l’exploit historique réalisé, samedi, par la sélection nationale marocaine de football en devenant la première nation arabe et africaine à se qualifier en demi-finales de la Coupe du Monde.",1
34,1602095497367494658,RyanBouamrane69,J’hésite à me prendre un billet pour France Pays-Bas fin mars pcq si on gagne la coupe du monde ce sera le match de présentation de la coupe et tout 🧐,0
35,1602095488370606080,skizeFTN,@c94ss Tu l'auras après la coupe du monde comme c'est parti,0
36,1602095471925006336,El_Faraone74,Benzema si la france gagne la coupe du monde : https://t.co/1GO63NKJXT,0
37,1602095412181176320,ZwazoRare,"Coupe du monde : Emmanuel Macron au Qatar pour la demi-finale France-Maroc

#Qatar #قطر

https://t.co/MjLAC1YYsJ",0
38,1602095411119915013,TheGoatPSG,"Coupe du monde. Un agent de sécurité en soins intensifs après une chute dans un stade du Qatar

#Qatar #قطر

https://t.co/RlbnjD7nYb",0
39,1602095408989323265,netlumemes,"VIDEO. Coupe du monde 2022 au Qatar : Harry Kane ""dégoûté"" et ""responsable"" de l'élimination de l'Angleterre par la France

#Qatar #قطر

https://t.co/MC01q1lysd",0
40,1602095402446102528,LeMaurethereal,"Coupe du monde : Emmanuel Macron se rendra au Qatar pour la demi-finale des Bleus

#Qatar #قطر

https://t.co/2K71l2vkrm",0
41,1602095358032633857,keisukeSfne,"@LORDPhil10 @footmercato Elle a martyrisé l'Afrique , coupe du monde 2002 ils sortent pas des poules , tu aurais mis l'équipe de 90 du Cameroun c'est autre chose. 🙂",0
42,1602095352185757702,football_alerte,Vidéo. Coupe du monde 2022 : pourquoi le football est-il un sport si imprévisible ? https://t.co/6ZeAgNxY94 a través de @lemondefr,0
43,1602095348566171649,AlainDelidelo,l’arc coupe du monde va me manquer…,-1
44,1602095323664580610,marvvkkshi,@DexAnsu @itachi971 Il vient de montrer aux yeux du monde en LDC + en Coupe du Monde qu’il était monstrueux a seulement 20 ans. Je te retiens dans ceux qui ne sont pas du train,1
45,1602095223907164161,charlyxn_foot,@spicymymy Elle veux quoi elle? Retourne écouter tes musiques de merde. C’est la coupe du monde la pas un showcase,-1
46,1602095214700765184,legunnersc,ramos tu mets des triplés en coupe du monde mais tu sors ta queue comme un fdp va bien te faire encule,-1
47,1602095116155502592,BajjouAbdeljab1,Boycott de la coupe du monde oui oui 😂 https://t.co/dcA1JGOPeN,-1
48,1602095099244158977,angem134,@julienbenneteau Qui a part l’Angleterre ? Il faut aussi reconnaître de la France a eu un parcours plus que facile dans cette coupe du monde. Australie Danemark Tunisie Pologne mdr,-1
49,1602095022937182210,ClassementFoot,Ptddr au lieu de se concentré sur son 1/4 de finale en Coupe du monde il préfère se Pompidou non la défaite est trop mérité,0
50,1602094997775458305,ivomrnn,"@Romanoskev @s_assbague J'aime la France et je suis français, mais pour cette fois je veut soutenir le Maroc qui a fais un parcours incroyable pendant cette coupe du monde. La majorité des maghrébins sont du même avis que moi.",1
51,1602094994956894213,nino___onin,@LeFennecFC 1 an plus tard le Maroc en demi final de la coupe du monde et l'Algérie manifeste à Zurich,0
52,1602094661174173698,06Thomasmarques,@elreydessavage @mat4reall @AmaurinhoR7 Je dirais l’inverse mec enfin bref c’est la coupe du monde viens nous voir en match amical tu seras peut être plus rassuré,0
53,1602094651296870401,I_Xhalil,"COUPE DU MONDE - Noël Le Graët : ""Les ministres, ça change. Beaucoup plus vite que les présidents"" - Eurosport FR https://t.co/8FXxJ197oE #football #foot #football_alerte",0
